Player,Game Date,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
John Gibson,2025-01-23,ANA,L,1,1,1,0,--,0,32,31,1,0.969,1.01,59:30,0,0,0,0,2
Joonas Korpisalo,2025-01-23,BOS,L,1,1,1,0,--,0,29,29,0,1.0,0.0,60:00,1,0,0,0,0
Thatcher Demko,2025-01-23,VAN,L,1,1,0,1,--,0,34,28,6,0.824,6.0,60:00,0,0,0,0,0
Alex Nedeljkovic,2025-01-23,PIT,L,1,1,0,1,--,0,33,29,4,0.879,4.26,56:23,0,0,0,0,0
Igor Shesterkin,2025-01-23,NYR,L,1,1,1,0,--,0,34,33,1,0.971,1.0,59:55,0,0,0,0,0
Sam Montembeault,2025-01-23,MTL,L,1,1,0,1,--,0,45,41,4,0.911,4.14,57:57,0,0,0,0,0
Ilya Samsonov,2025-01-23,VGK,L,1,1,1,0,--,0,17,15,2,0.882,2.0,60:00,0,0,0,0,0
Karel Vejmelka,2025-01-23,UTA,R,1,1,1,0,--,0,26,26,0,1.0,0.0,60:00,1,0,0,0,0
Joey Daccord,2025-01-23,SEA,L,1,1,0,1,--,0,31,30,2,0.968,2.03,59:06,0,0,0,0,0
Charlie Lindgren,2025-01-23,WSH,R,1,1,1,0,--,0,22,22,0,1.0,0.0,60:00,1,0,0,0,0
Filip Gustavsson,2025-01-23,MIN,L,1,1,0,1,--,0,29,25,4,0.862,4.0,60:00,0,0,0,0,0
Ukko-Pekka Luukkonen,2025-01-23,BUF,L,1,1,0,1,--,0,24,21,3,0.875,3.05,59:06,0,0,0,0,0
Daniil Tarasov,2025-01-23,CBJ,L,1,1,0,1,--,0,42,36,6,0.857,6.14,58:39,0,0,0,0,0
Joel Hofer,2025-01-23,STL,L,1,1,0,1,--,0,30,27,3,0.9,3.26,55:15,0,0,0,0,0
Justus Annunen,2025-01-23,NSH,L,1,1,1,0,--,0,35,30,5,0.857,5.01,59:55,0,0,0,0,0
Samuel Ersson,2025-01-23,PHI,L,1,1,0,1,--,0,36,31,5,0.861,5.12,58:35,0,0,0,0,0
Dustin Wolf,2025-01-23,CGY,L,1,1,1,0,--,0,34,32,2,0.941,2.0,60:00,0,0,0,0,0
Yaroslav Askarov,2025-01-23,SJS,R,1,1,0,1,--,0,38,32,6,0.842,6.19,58:08,0,0,0,0,0
Connor Hellebuyck,2025-01-24,WPG,L,1,1,1,0,--,0,19,17,2,0.895,2.0,60:00,0,0,0,0,0
Jonas Johansson,2025-01-24,TBL,L,1,1,1,0,--,0,14,11,3,0.786,2.99,60:09,0,0,0,0,0
Ilya Sorokin,2025-01-24,NYI,L,1,1,1,0,--,0,30,29,1,0.967,1.0,59:58,0,0,0,0,0
Adin Hill,2025-01-24,VGK,L,1,1,0,1,--,0,27,23,4,0.852,4.11,58:23,0,0,0,0,0
Ivan Fedotov,2025-01-24,PHI,L,1,1,0,1,--,0,27,24,3,0.889,3.17,56:51,0,0,0,0,0
Connor Ingram,2025-01-24,UTA,L,1,1,0,1,--,0,28,24,4,0.857,4.08,58:51,0,0,0,0,0
Jake Oettinger,2025-01-24,DAL,L,1,1,1,0,--,0,21,18,3,0.857,3.0,60:00,0,0,0,0,0
Arvid Soderblom,2025-01-24,CHI,L,1,1,0,0,--,1,40,36,4,0.9,3.94,60:58,0,0,0,0,0
Marc-Andre Fleury,2025-01-25,MIN,L,1,1,0,1,--,0,29,24,5,0.828,5.09,58:57,0,0,0,0,2
James Reimer,2025-01-25,BUF,L,1,1,0,1,--,0,34,31,3,0.912,3.1,58:05,0,0,0,0,0
Jake Allen,2025-01-25,NJD,L,1,1,1,0,--,0,32,29,3,0.906,2.81,64:06,0,0,0,0,0
Darcy Kuemper,2025-01-25,LAK,L,1,1,0,0,--,1,24,21,3,0.875,2.92,61:41,0,0,0,0,0
Cam Talbot,2025-01-25,DET,L,1,1,1,0,--,0,28,28,0,1.0,0.0,60:00,1,0,0,0,0
Sergei Bobrovsky,2025-01-25,FLA,L,1,1,1,0,--,0,23,21,2,0.913,2.0,60:00,0,0,0,0,0
Scott Wedgewood,2025-01-25,COL,L,1,1,0,1,--,0,14,12,2,0.857,2.08,57:38,0,0,0,0,0
Anton Forsberg,2025-01-25,OTT,L,1,1,1,0,--,0,29,28,1,0.966,1.01,59:31,0,0,0,0,0
Jordan Binnington,2025-01-25,STL,L,1,1,0,1,--,0,19,17,2,0.895,2.16,55:34,0,0,0,0,0
John Gibson,2025-01-25,ANA,L,1,1,0,0,--,0,10,9,1,0.9,3.0,20:00,0,0,0,0,0
Andrei Vasilevskiy,2025-01-25,TBL,L,1,1,0,1,--,0,31,30,1,0.968,1.03,58:00,0,0,0,0,0
Marcus Hogberg,2025-01-25,NYI,L,1,1,0,0,--,0,26,24,2,0.923,2.0,60:00,0,0,0,0,0
