Team,Opp Team,Game Date,Days Btwn Games,GP,W,L,T,OT,P,P%,GF/GP,GA/GP,GD/GP,Shots/GP,SA/GP,SD/GP,PP Opp/GP,TS/GP,PP%,PK%,FOW%
Tampa Bay Lightning,CHI,2025-01-28,2,1,0,1,--,0,0,0.0,1,4,-3,35,21,14,3,2,0,50,59.3
Washington Capitals,CGY,2025-01-28,2,1,1,0,--,0,2,1.0,3,1,2,23,33,-10,4,5,25,80,50.0
Chicago Blackhawks,TBL,2025-01-28,1,1,1,0,--,0,2,1.0,4,1,3,21,35,-14,2,3,50,100,40.7
Calgary Flames,WSH,2025-01-28,1,1,0,1,--,0,0,0.0,1,3,-2,33,23,10,5,4,20,75,50.0
Colorado Avalanche,NYI,2025-01-28,1,1,0,1,--,0,0,0.0,2,5,-3,32,28,4,2,0,0,--,53.9
Anaheim Ducks,SEA,2025-01-28,2,1,1,0,--,0,2,1.0,6,4,2,23,30,-7,2,3,0,66.7,40.0
Dallas Stars,VGK,2025-01-28,2,1,1,0,--,0,2,1.0,4,3,1,28,28,0,3,2,0,50,47.7
Winnipeg Jets,MTL,2025-01-28,1,1,1,0,--,0,2,1.0,4,1,3,24,25,-1,3,0,0,--,42.6
Vegas Golden Knights,DAL,2025-01-28,1,1,0,0,--,1,1,0.5,3,4,-1,28,28,0,2,3,50,100,52.3
Seattle Kraken,ANA,2025-01-28,0,1,0,1,--,0,0,0.0,4,6,-2,30,23,7,3,2,33.3,100,60.0
New Jersey Devils,PHI,2025-01-29,1,1,1,0,--,0,2,1.0,5,0,5,26,24,2,3,4,66.7,100,47.4
Philadelphia Flyers,NJD,2025-01-29,1,1,0,1,--,0,0,0.0,0,5,-5,24,26,-2,4,3,0,33.3,52.6
Pittsburgh Penguins,UTA,2025-01-29,1,1,1,0,--,0,2,1.0,3,2,1,29,29,0,1,1,0,0,56.7
Toronto Maple Leafs,MIN,2025-01-29,3,1,0,1,--,0,0,0.0,1,3,-2,33,25,8,1,1,0,0,62.8
Florida Panthers,LAK,2025-01-29,2,1,1,0,--,0,2,1.0,3,0,3,39,29,10,4,2,25,100,43.3
Nashville Predators,VAN,2025-01-29,3,1,0,1,--,0,0,0.0,1,3,-2,32,22,10,3,3,0,66.7,66.0
Vancouver Canucks,NSH,2025-01-29,1,1,1,0,--,0,2,1.0,3,1,2,22,32,-10,3,3,33.3,100,34.0
Los Angeles Kings,FLA,2025-01-29,1,1,0,1,--,0,0,0.0,0,3,-3,29,39,-10,2,4,0,75,56.7
Minnesota Wild,TOR,2025-01-29,2,1,1,0,--,0,2,1.0,3,1,2,25,33,-8,1,1,100,100,37.3
Utah Hockey Club,PIT,2025-01-29,2,1,0,0,--,1,1,0.5,2,3,-1,29,29,0,1,1,100,100,43.3
New York Islanders,PHI,2025-01-30,1,1,1,0,--,0,2,1.0,3,0,3,28,23,5,2,3,0,100,50.8
Philadelphia Flyers,NYI,2025-01-30,0,1,0,1,--,0,0,0.0,0,3,-3,23,28,-5,3,2,0,100,49.3
Boston Bruins,WPG,2025-01-30,1,1,0,1,--,0,0,0.0,2,6,-4,28,28,0,3,4,33.3,50,63.1
Montréal Canadiens,MIN,2025-01-30,1,1,0,1,--,0,0,0.0,0,4,-4,19,27,-8,1,1,0,100,62.2
Ottawa Senators,WSH,2025-01-30,3,1,1,0,--,0,2,1.0,5,4,1,34,35,-1,5,6,40,66.7,57.4
Carolina Hurricanes,CHI,2025-01-30,1,1,1,0,--,0,2,1.0,3,2,1,27,20,7,2,2,0,100,49.0
Tampa Bay Lightning,LAK,2025-01-30,1,1,1,0,--,0,2,1.0,3,0,3,33,28,5,2,1,0,100,55.4
Washington Capitals,OTT,2025-01-30,1,1,0,0,--,1,1,0.5,4,5,-1,35,34,1,6,5,33.3,60,42.6
Chicago Blackhawks,CAR,2025-01-30,1,1,0,1,--,0,0,0.0,2,3,-1,20,27,-7,2,2,0,100,51.0
Detroit Red Wings,EDM,2025-01-30,2,1,1,0,--,0,2,1.0,2,2,0,35,47,-12,3,4,0,75,54.8
Calgary Flames,ANA,2025-01-30,1,1,1,0,--,0,2,1.0,4,1,3,30,31,-1,1,4,0,100,60.0
Edmonton Oilers,DET,2025-01-30,2,1,0,0,--,1,1,0.5,2,2,0,47,35,12,4,3,25,100,45.2
Anaheim Ducks,CGY,2025-01-30,1,1,0,1,--,0,0,0.0,1,4,-3,31,30,1,4,1,0,100,40.0
Los Angeles Kings,TBL,2025-01-30,0,1,0,1,--,0,0,0.0,0,3,-3,28,33,-5,1,2,0,100,44.6
San Jose Sharks,SEA,2025-01-30,2,1,0,1,--,0,0,0.0,2,6,-4,28,33,-5,2,2,0,50,38.6
Columbus Blue Jackets,VGK,2025-01-30,4,1,1,0,--,0,2,1.0,2,1,1,24,26,-2,1,1,0,100,41.3
Minnesota Wild,MTL,2025-01-30,0,1,1,0,--,0,2,1.0,4,0,4,27,19,8,1,1,0,100,37.8
Winnipeg Jets,BOS,2025-01-30,1,1,1,0,--,0,2,1.0,6,2,4,28,28,0,4,3,50,66.7,36.9
Vegas Golden Knights,CBJ,2025-01-30,1,1,0,0,--,1,1,0.5,1,2,-1,26,24,2,1,1,0,100,58.7
Seattle Kraken,SJS,2025-01-30,1,1,1,0,--,0,2,1.0,6,2,4,33,28,5,2,2,50,100,61.4
Buffalo Sabres,NSH,2025-01-31,2,1,1,0,--,0,2,1.0,4,3,1,27,31,-4,2,4,0,100,35.9
Nashville Predators,BUF,2025-01-31,1,1,0,1,--,0,0,0.0,3,4,-1,31,27,4,4,2,0,100,64.2
St. Louis Blues,COL,2025-01-31,3,1,0,1,--,0,0,0.0,0,5,-5,19,36,-17,2,4,0,50,58.0
Colorado Avalanche,STL,2025-01-31,2,1,1,0,--,0,2,1.0,5,0,5,36,19,17,4,2,50,100,42.0
Vancouver Canucks,DAL,2025-01-31,1,1,0,1,--,0,0,0.0,3,5,-2,29,16,13,5,2,20,50,43.4
Dallas Stars,VAN,2025-01-31,2,1,1,0,--,0,2,1.0,5,3,2,16,29,-13,2,5,50,80,56.6
Columbus Blue Jackets,UTA,2025-01-31,0,1,1,0,--,0,2,1.0,3,2,1,23,34,-11,2,3,0,66.7,38.3
Utah Hockey Club,CBJ,2025-01-31,1,1,0,0,--,1,1,0.5,2,3,-1,34,23,11,3,2,33.3,100,61.7
New York Islanders,TBL,2025-02-01,1,1,1,0,--,0,2,1.0,3,2,1,36,31,5,1,3,0,100,48.2
New York Rangers,BOS,2025-02-01,3,1,0,1,--,0,0,0.0,3,6,-3,25,25,0,3,3,33.3,33.3,60.4
Pittsburgh Penguins,NSH,2025-02-01,2,1,1,0,--,0,2,1.0,3,0,3,36,25,11,3,0,0,--,54.6
Boston Bruins,NYR,2025-02-01,1,1,1,0,--,0,2,1.0,6,3,3,25,25,0,3,3,66.7,66.7,39.6
Ottawa Senators,MIN,2025-02-01,1,1,1,0,--,0,2,1.0,6,0,6,52,16,36,8,3,37.5,100,70.7
Toronto Maple Leafs,EDM,2025-02-01,2,1,1,0,--,0,2,1.0,4,3,1,28,48,-20,2,2,100,100,52.9
Carolina Hurricanes,LAK,2025-02-01,1,1,0,1,--,0,0,0.0,2,4,-2,28,26,2,3,1,0,100,52.5
Florida Panthers,CHI,2025-02-01,2,1,1,0,--,0,2,1.0,5,1,4,44,25,19,6,3,16.7,100,50.7
Tampa Bay Lightning,NYI,2025-02-01,1,1,0,0,--,1,1,0.5,2,3,-1,31,36,-5,3,1,0,100,51.8
Washington Capitals,WPG,2025-02-01,1,1,0,0,--,1,1,0.5,4,5,-1,29,30,-1,1,2,0,50,40.0
Chicago Blackhawks,FLA,2025-02-01,1,1,0,1,--,0,0,0.0,1,5,-4,25,44,-19,3,6,0,83.3,49.3
Detroit Red Wings,CGY,2025-02-01,1,1,1,0,--,0,2,1.0,3,1,2,24,34,-10,0,2,--,50,51.6
Nashville Predators,PIT,2025-02-01,0,1,0,1,--,0,0,0.0,0,3,-3,25,36,-11,0,3,--,100,45.5
Calgary Flames,DET,2025-02-01,1,1,0,1,--,0,0,0.0,1,3,-2,34,24,10,2,0,50,--,48.4
Edmonton Oilers,TOR,2025-02-01,1,1,0,1,--,0,0,0.0,3,4,-1,48,28,20,2,2,0,0,47.1
Los Angeles Kings,CAR,2025-02-01,1,1,1,0,--,0,2,1.0,4,2,2,26,28,-2,1,3,0,100,47.5
Minnesota Wild,OTT,2025-02-01,1,1,0,1,--,0,0,0.0,0,6,-6,16,52,-36,3,8,0,62.5,29.3
Winnipeg Jets,WSH,2025-02-01,1,1,1,0,--,0,2,1.0,5,4,1,30,29,1,2,1,50,100,60.0
New Jersey Devils,BUF,2025-02-02,3,1,0,1,--,0,0,0.0,3,4,-1,24,34,-10,5,4,0,100,38.6
New York Islanders,FLA,2025-02-02,0,1,0,1,--,0,0,0.0,3,6,-3,34,33,1,3,2,33.3,50,66.1
New York Rangers,VGK,2025-02-02,0,1,1,0,--,0,2,1.0,4,2,2,28,36,-8,2,1,100,0,56.7
Philadelphia Flyers,COL,2025-02-02,2,1,0,1,--,0,0,0.0,0,2,-2,24,32,-8,1,2,0,50,37.0
Buffalo Sabres,NJD,2025-02-02,1,1,1,0,--,0,2,1.0,4,3,1,34,24,10,4,5,0,100,61.4
Montréal Canadiens,ANA,2025-02-02,2,1,0,1,--,0,0,0.0,2,3,-1,23,22,1,4,4,25,100,61.7
Florida Panthers,NYI,2025-02-02,0,1,1,0,--,0,2,1.0,6,3,3,33,34,-1,2,3,50,66.7,33.9
Detroit Red Wings,VAN,2025-02-02,0,1,1,0,--,0,2,1.0,3,2,1,18,27,-9,1,0,0,--,40.7
St. Louis Blues,UTA,2025-02-02,1,1,1,0,--,0,2,1.0,2,1,1,29,25,4,2,3,0,100,62.5
Calgary Flames,SEA,2025-02-02,0,1,1,0,--,0,2,1.0,3,2,1,35,31,4,5,3,40,100,56.5
Colorado Avalanche,PHI,2025-02-02,1,1,1,0,--,0,2,1.0,2,0,2,32,24,8,2,1,50,100,63.0
Vancouver Canucks,DET,2025-02-02,1,1,0,0,--,1,1,0.5,2,3,-1,27,18,9,0,1,--,100,59.3
Anaheim Ducks,MTL,2025-02-02,2,1,1,0,--,0,2,1.0,3,2,1,22,23,-1,4,4,0,75,38.3
Dallas Stars,CBJ,2025-02-02,1,1,1,0,--,0,2,1.0,5,3,2,39,30,9,3,3,33.3,100,57.8
Columbus Blue Jackets,DAL,2025-02-02,1,1,0,1,--,0,0,0.0,3,5,-2,30,39,-9,3,3,0,66.7,42.2
Vegas Golden Knights,NYR,2025-02-02,2,1,0,1,--,0,0,0.0,2,4,-2,36,28,8,1,2,100,0,43.3
Seattle Kraken,CGY,2025-02-02,2,1,0,1,--,0,0,0.0,2,3,-1,31,35,-4,3,5,0,60,43.5
Utah Hockey Club,STL,2025-02-02,1,1,0,1,--,0,0,0.0,1,2,-1,25,29,-4,3,2,0,100,37.5
